"","shrimp","almonds","avocado","vegetables mix","green grapes","whole weat flour","yams","cottage cheese","energy drink","tomato juice","low fat yogurt","green tea","honey","salad","mineral water","salmon","antioxydant juice","frozen smoothie","spinach","olive oil"
"3562","fresh tuna","ground beef","pepper","spaghetti","mineral water","olive oil","black tea","almonds","french wine","chicken","strong cheese","pancakes","bug spray","eggplant","fresh bread",NA,NA,NA,NA,NA
"3563","mineral water","champagne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3564","spaghetti","eggs","whole wheat rice","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3565","burgers","energy bar","eggs","champagne","brownies","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3566","milk","eggs","mint green tea","french fries","cookies","brownies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3567","vegetables mix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3568","grated cheese","spaghetti","mint",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3569","eggs","strawberries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3570","cooking oil","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3571","ground beef","spaghetti","milk","butter","chicken","green tea","french fries","champagne","cookies","white wine","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3572","tomatoes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3573","herb & pepper","tomatoes","mineral water","chocolate","soup","cooking oil","cereals","green tea","brownies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3574","tomatoes","mineral water","chocolate","olive oil","energy bar","low fat yogurt","zucchini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3575","chocolate","shrimp","ground beef","spaghetti","whole wheat rice","cake","hot dogs","fresh bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3576","mineral water","chocolate","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3577","chocolate","shallot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3578","burgers","shrimp","frozen vegetables","spaghetti","mineral water","chocolate","olive oil","french wine","pancakes","white wine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3579","spaghetti","mineral water","escalope","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3580","frozen vegetables","milk","butter","chicken","fromage blanc","eggs","cake","cooking oil","brownies","tomato juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3581","burgers","cookies","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3582","red wine","barbecue sauce","chili","pet food","whole weat flour","french fries","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3583","mineral water","milk","chocolate","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3584","shrimp","tomatoes","ground beef","milk","cooking oil","white wine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3585","mineral water","milk","olive oil","energy bar","whole wheat rice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3586","turkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3587","honey","cottage cheese","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3588","almonds","french wine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3589","turkey","shrimp","pepper","spaghetti","soup","olive oil","green grapes","pancakes","honey","burger sauce","extra dark chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3590","milk","sparkling water","asparagus","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3591","ground beef","spaghetti","mineral water","french wine","eggs","extra dark chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3592","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3593","herb & pepper","red wine","mineral water","soup","milk","chicken","corn","carrots","whole weat flour","cereals","french fries","pancakes","asparagus",NA,NA,NA,NA,NA,NA,NA
"3594","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3595","eggs","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3596","burgers","mineral water","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3597","meatballs","cake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3598","grated cheese","ground beef","mineral water","clothes accessories","french fries","tomato juice","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3599","grated cheese","ground beef","spaghetti","cake","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3600","burgers","red wine","tomatoes","spaghetti","meatballs","bacon","salmon","shampoo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3601","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3602","frozen vegetables","tomatoes","green tea","french fries","frozen smoothie","hot dogs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3603","tomatoes","mineral water","milk","olive oil","chicken","eggs","brownies","pancakes","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3604","shrimp","pancakes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3605","gums",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3606","frozen vegetables","spaghetti","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3607","mineral water","olive oil","french wine","eggs","gums","antioxydant juice","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3608","whole wheat pasta","spaghetti","mineral water","almonds","cooking oil","chocolate","mint",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3609","fresh tuna","herb & pepper","mineral water","milk","cereals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3610","soup","honey","cake","french fries","hot dogs","sparkling water","brownies","strawberries","pancakes","yogurt cake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3611","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3612","mint",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3613","milk","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3614","ham","tomatoes","ground beef","mineral water","salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3615","shrimp","frozen vegetables","mineral water","chocolate","soup","milk","olive oil","eggs","cake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3616","ground beef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3617","mineral water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3618","green tea","french fries","brownies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3619","mineral water","energy bar","salmon","cooking oil","shallot","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3620","mineral water","honey","cottage cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3621","burgers","frozen vegetables","mineral water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3622","mineral water","gums",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3623","frozen smoothie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3624","ham","frozen vegetables","ground beef","spaghetti","mineral water","chocolate","olive oil","vegetables mix","eggs","tomato juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3625","spaghetti","milk","cake","burger sauce","chocolate","white wine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3626","turkey","ground beef","chocolate","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3627","strong cheese","vegetables mix","french fries","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3628","chocolate","shrimp","mineral water","milk","barbecue sauce","cereals","french fries","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3629","mineral water","cottage cheese","pancakes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3630","soup","olive oil","green tea","cottage cheese","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3631","cake","mint",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3632","turkey","grated cheese","butter","eggs","eggplant","chocolate","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3633","chocolate","champagne","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3634","green grapes","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3635","frozen vegetables","tomatoes","ground beef","soup","milk","light cream","cooking oil","chicken","chocolate","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3636","burgers","tomatoes","eggs","cake","french fries","frozen smoothie","cookies","hot dogs","light mayo","tomato juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3637","mineral water","soup","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3638","pickles","chocolate","energy drink","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3639","grated cheese","mineral water","chocolate","milk","black tea","chicken","green tea","mint",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3640","herb & pepper","avocado","salmon","rice","cottage cheese","magazines","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3641","burgers","fresh tuna","spaghetti","energy bar","bacon","eggs","french fries","escalope","pancakes","gluten free bar","light mayo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3642","shrimp","frozen vegetables","ground beef","spaghetti","mineral water","milk","oil","cereals","french fries","champagne","frozen smoothie","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA
"3643","tomatoes","mineral water","cooking oil","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3644","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3645","spaghetti","mineral water","yogurt cake","light mayo","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3646","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3647","mineral water","frozen smoothie","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3648","mineral water","chicken","hot dogs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3649","fresh tuna","pancakes","cake","cottage cheese","brownies","yogurt cake","white wine","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3650","frozen vegetables","spaghetti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3651","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3652","chocolate","grated cheese","salmon","french fries","cookies","shallot","tomato juice","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3653","parmesan cheese","chocolate","black tea","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3654","mineral water","carrots","chocolate","escalope","pancakes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3655","turkey","burgers","fresh tuna","frozen vegetables","eggs","cake","pancakes","fresh bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3656","soup",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3657","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3658","herb & pepper","ground beef","oatmeal","napkins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3659","shrimp","frozen vegetables","spaghetti","mineral water","milk","energy bar","chicken","chocolate","mint",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3660","butter","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3661","hot dogs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3662","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3663","grated cheese","antioxydant juice","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3664","pancakes","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3665","spaghetti","eggs","cake","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3666","herb & pepper","shrimp","chocolate","frozen smoothie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3667","burgers","tomatoes","oil","cereals","chocolate","french fries","escalope","champagne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3668","salt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3669","turkey","frozen vegetables","ground beef","eggs","barbecue sauce","eggplant","champagne","escalope","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3670","turkey","ground beef","olive oil","eggs","blueberries","bug spray","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3671","turkey","burgers","grated cheese","pepper","spaghetti","eggs","gums","low fat yogurt","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3672","frozen vegetables","tomatoes","milk","salmon","cake","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3673","spaghetti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3674","mineral water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3675","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3676","chocolate","spaghetti","olive oil","almonds","salmon","vegetables mix","frozen smoothie","cottage cheese","yogurt cake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3677","spaghetti","olive oil","fromage blanc","pancakes","eggs","cereals","clothes accessories","yogurt cake","gluten free bar","fresh bread","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3678","mineral water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3679","burgers","red wine","spaghetti","milk","chicken","ham","chocolate","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3680","burgers","frozen vegetables","mineral water","milk","olive oil","honey","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3681","grated cheese","ground beef","pepper","spaghetti","mineral water","chocolate","salmon","pancakes","eggs","escalope","cookies","fresh bread",NA,NA,NA,NA,NA,NA,NA,NA
"3682","chocolate","champagne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3683","meatballs","muffins","cottage cheese","strawberries","protein bar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3684","french fries","light mayo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3685","chocolate","shrimp","whole wheat pasta","ground beef","milk","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3686","turkey","frozen vegetables","avocado","butter","green grapes","cake","barbecue sauce","tomato juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3687","burgers","mineral water","chocolate","pancakes","honey","cooking oil","light mayo","hand protein bar","zucchini","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3688","chocolate","tomatoes","salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3689","energy bar","chicken","eggs","light mayo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3690","frozen smoothie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3691","grated cheese","olive oil","french wine","chicken","cider","bacon","honey","chocolate","french fries","frozen smoothie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3692","turkey","ham","grated cheese","herb & pepper","red wine","shrimp","ground beef","spaghetti","mineral water","pancakes","whole wheat rice","cereals",NA,NA,NA,NA,NA,NA,NA,NA
"3693","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3694","olive oil","antioxydant juice","french fries","cookies","hand protein bar","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3695","burgers","shrimp","ground beef","spaghetti","mineral water","eggs","whole wheat rice","cereals","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3696","ground beef","spaghetti","mineral water","cooking oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3697","pasta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3698","turkey","ground beef","pepper","spaghetti","chocolate","pancakes","rice","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3699","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3700","french fries","escalope","pasta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3701","antioxydant juice","brownies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3702","extra dark chocolate","mashed potato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3703","burgers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3704","chicken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3705","antioxydant juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3706","antioxydant juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3707","whole wheat pasta","olive oil","oil","clothes accessories","pasta","white wine","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3708","frozen vegetables","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3709","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3710","herb & pepper","hot dogs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3711","frozen vegetables","spaghetti","mineral water","almonds","green grapes","whole wheat rice","cake","gums","eggplant","cereals","french fries","fresh bread","low fat yogurt","green tea",NA,NA,NA,NA,NA,NA
"3712","strawberries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3713","soup","milk","olive oil","muffins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3714","chocolate","whole wheat pasta","spaghetti","cake","blueberries","oil","chicken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3715","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3716","tomato sauce","mineral water","almonds","eggs","cake","chocolate","brownies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3717","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3718","burgers","ground beef","chicken","whole weat flour","frozen smoothie","escalope","hot dogs","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3719","frozen vegetables","avocado","milk","tomato juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3720","champagne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3721","cookies","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3722","chocolate","shrimp","pepper","spaghetti","mineral water","nonfat milk","blueberries","light cream","chicken","carrots",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3723","turkey","shrimp","chocolate","olive oil","french wine","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3724","chutney","eggs","body spray",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3725","whole wheat pasta","ground beef","spaghetti","meatballs","milk","bacon","soda","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3726","frozen vegetables","ground beef","spaghetti","olive oil","strong cheese","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3727","turkey","escalope","pasta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3728","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3729","mineral water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3730","pepper","mineral water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3731","pancakes","honey","barbecue sauce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3732","tomato sauce","mineral water","milk","french wine","pancakes","light cream","cooking oil","chicken","extra dark chocolate","eggplant","champagne","cookies",NA,NA,NA,NA,NA,NA,NA,NA
"3733","french fries","energy drink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3734","frozen vegetables","chocolate","escalope","tomato juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3735","burgers","shrimp","eggplant","brownies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3736","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3737","frozen vegetables","strawberries","yogurt cake","gluten free bar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3738","burgers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3739","mineral water","honey","frozen smoothie","cottage cheese","body spray",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3740","energy bar","vegetables mix","energy drink","light mayo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3741","turkey","burgers","grated cheese","ground beef","mineral water","milk","vegetables mix","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3742","milk","chocolate","french fries","escalope","pancakes","salad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3743","spaghetti","eggplant","french fries","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3744","milk","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3745","mineral water","avocado","cake","chocolate","french fries","cottage cheese","pancakes","fresh bread","magazines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3746","grated cheese","eggs","pasta","hot dogs","sparkling water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3747","whole wheat pasta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3748","whole wheat pasta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3749","spaghetti","mineral water","frozen smoothie","pancakes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3750","chocolate","herb & pepper","ground beef","mineral water","soup","olive oil","light cream","oil","chicken","hot dogs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
